URL,Size,OutLinks,ContentType,,
https://www.c-span.org/classroom/document/?1839,14617bytes,69,text/html,,
https://www.c-span.org/classroom/document/?1838,15561bytes,71,text/html,,
https://www.c-span.org/classroom/document/?1837,16385bytes,73,text/html,,
https://www.c-span.org/classroom/document/?1836,16162bytes,72,text/html,,
https://www.c-span.org/classroom/document/?1842,15345bytes,71,text/html,,
https://www.c-span.org/classroom/document/?1841,15373bytes,71,text/html,,
https://www.c-span.org/classroom/document/?1840,15837bytes,74,text/html,,
https://www.c-span.org/classroom/document/?1846,15617bytes,69,text/html,,
https://www.c-span.org/classroom/document/?1845,18848bytes,73,text/html,,
https://www.c-span.org/classroom/document/?1844,18439bytes,75,text/html,,
https://www.c-span.org/classroom/document/?1843,15470bytes,71,text/html,,
https://www.c-span.org/classroom/document/?7024,16778bytes,75,text/html,,
https://www.c-span.org/classroom/document/?7032,16603bytes,74,text/html,,
https://www.c-span.org/classroom/document/?7153,16255bytes,74,text/html,,
https://www.c-span.org/classroom/document/?7154,16111bytes,73,text/html,,
https://www.c-span.org/classroom/document/?7033,16079bytes,75,text/html,,
https://www.c-span.org/classroom/document/?7030,16557bytes,74,text/html,,
https://www.c-span.org/classroom/document/?7151,15809bytes,74,text/html,,
https://www.c-span.org/classroom/document/?7273,17601bytes,76,text/html,,
https://www.c-span.org/classroom/document/?7152,16473bytes,75,text/html,,
https://www.c-span.org/classroom/document/?1849,16475bytes,74,text/html,,
https://www.c-span.org/classroom/document/?1848,15764bytes,71,text/html,,
https://www.c-span.org/classroom/document/?1847,15308bytes,69,text/html,,
https://www.c-span.org/classroom/document/?6824,16871bytes,75,text/html,,
https://www.c-span.org/classroom/document/?5055,16578bytes,71,text/html,,
https://www.c-span.org/classroom/document/?7234,17458bytes,78,text/html,,
https://www.c-span.org/classroom/document/?5054,15845bytes,69,text/html,,
https://www.c-span.org/classroom/document/?6265,15927bytes,71,text/html,,
https://www.c-span.org/classroom/document/?6839,17343bytes,74,text/html,,
https://www.c-span.org/classroom/document/?7126,15026bytes,71,text/html,,
https://www.c-span.org/classroom/document/?1875,20098bytes,72,text/html,,
https://www.c-span.org/classroom/document/?1874,16025bytes,69,text/html,,
https://www.c-span.org/classroom/document/?1873,16580bytes,76,text/html,,
https://www.c-span.org/classroom/document/?1872,16565bytes,74,text/html,,
https://www.c-span.org/classroom/document/?6406,17490bytes,72,text/html,,
https://www.c-span.org/classroom/document/?1879,15918bytes,70,text/html,,
https://www.c-span.org/classroom/document/?1878,15377bytes,69,text/html,,
https://www.c-span.org/classroom/document/?1877,16661bytes,74,text/html,,
https://www.c-span.org/classroom/document/?2153,12546bytes,71,text/html,,
https://www.c-span.org/classroom/document/?6870,15260bytes,72,text/html,,
https://www.c-span.org/classroom/document/?2160,15220bytes,73,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsearchtype%3DVideos%26seriesid%255B%255D%3D30%26sort%3DMost%252BRecent%252BAiring,36424bytes,57,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsearchtype%3DClips&sort=Most%20Popular&tagid%5B%5D=5709,36267bytes,57,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fseriesid%255B%255D%3D5%26sort%3DNewest%26tagid%255B%255D%3D471,36367bytes,57,text/html,,
https://www.c-span.org/classroom/document/?7651,12850bytes,71,text/html,,
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fsearch%2F%3Ftopicids%255B%255D%3D44,12487bytes,68,text/html,,
https://www.c-span.org/classroom/document/?7707,13880bytes,73,text/html,,
https://www.c-span.org/classroom/document/?7647,12759bytes,71,text/html,,
https://www.c-span.org/classroom/document/?7645,12758bytes,71,text/html,,
https://www.c-span.org/classroom/document/?7646,12960bytes,71,text/html,,
https://www.c-span.org/classroom/search/?show100&topicids%5B%5D=44,132986bytes,259,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fseriesid%255B%255D%3D5%26sort%3DNewest%26tagid%255B%255D%3D853,36367bytes,57,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fquery%3Dtax%252Bpolicy%26searchtype%3DVideos,36333bytes,57,text/html,,
https://www.c-span.org/search/?query=john%2Bw.%2Bkluge%2Bcenter&searchtype=Videos,73830bytes,106,text/html,,
https://www.c-span.org/search/?query=today&searchtype=Videos,75241bytes,105,text/html,,
https://www.c-span.org/search/?query=income%2Btax&searchtype=Videos,75321bytes,106,text/html,,
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7054,12465bytes,67,text/html,,
https://www.c-span.org/search/?formatid%5B%5D=51&searchtype=Videos&sort=Newest,74962bytes,110,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fcongress%2F%3Fchamber%3Dsenate,36267bytes,56,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fseries%2F%3FlecturesInHistory,36268bytes,56,text/html,,
https://www.c-span.org/search/?searchtype=Videos&seriesid%5B%5D=55&sort=Most%2BRecent%2BAiring,74271bytes,96,text/html,,
https://www.c-span.org/series/print/?date=2018-02-21&series=55,6562bytes,2,text/html,,
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fcontact%2Femail%2F,12465bytes,67,text/html,,
https://www.c-span.org/congress/members/?all&chamber=house&congress=115&find-name=all&find-party=all&find-state=all&sort-names=name&status=retiring,61809bytes,154,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fcongress%2Fbills%2Fbill%2F%3F115%252Fhr4533,36298bytes,57,text/html,,
https://www.c-span.org/congress/committee/?61503,47488bytes,88,text/html,,
https://www.c-span.org/search/?searchtype=Bills&sort=Most%2BRecent%2BAction&topicid%5B%5D=477,62618bytes,96,text/html,,
https://www.c-span.org/person/?brettguthrie,41525bytes,88,text/html,,
https://www.c-span.org/person/?haroldrogers,43797bytes,89,text/html,,
https://www.c-span.org/person/?thomasmassie,41486bytes,87,text/html,,
https://www.c-span.org/person/?johnyarmuth,42865bytes,93,text/html,,
https://www.c-span.org/congress/committee/?2128,62213bytes,132,text/html,,
https://www.c-span.org/person/?andybarr,41289bytes,88,text/html,,
https://www.c-span.org/person/?jamescomer02,39546bytes,75,text/html,,
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Flogin%2F,12449bytes,67,text/html,,
https://www.c-span.org/search/?searchtype=Clips&seriesid%5B%5D=69&sort=Trending,60970bytes,96,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fformatid%255B%255D%3D25%26searchtype%3DVideos%26sort%3DNewest,36372bytes,57,text/html,,
https://www.c-span.org/congress/?chamber=house&date=2018-02-06,1207860bytes,606,text/html,,
https://www.c-span.org/congress/?chamber=house&date=2018-02-07,1006488bytes,260,text/html,,
https://www.c-span.org/congress/?chamber=house&date=2018-02-08,757266bytes,419,text/html,,
https://www.c-span.org/congress/?chamber=house&date=2018-02-20,54838bytes,93,text/html,,
https://www.c-span.org/search/?personid%5B%5D=2249&searchtype=Videos,77612bytes,97,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=621010&personid%5B%5D=2249&searchtype=Videos,53512bytes,59,text/html,,
https://www.c-span.org/search/?personid%5B%5D=2249&searchtype=Videos&sort=Newest,77628bytes,97,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=19845&personid%5B%5D=2249&searchtype=Videos,77781bytes,97,text/html,,
https://www.c-span.org/search/?edate=12%2F31%2F2015&personid%5B%5D=2249&sdate=01%2F01%2F2015&searchtype=Videos&sort=Most%20Popular,73905bytes,91,text/html,,
https://www.c-span.org/search/?personid%5B%5D=1886&searchtype=Videos,76708bytes,97,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=621241&personid%5B%5D=2249&searchtype=Videos,53492bytes,59,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=621002&personid%5B%5D=2249&searchtype=Videos,53505bytes,59,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=621013&personid%5B%5D=2249&searchtype=Videos,53221bytes,59,text/html,,
https://www.c-span.org/search/?personid%5B%5D=2249&searchtype=Videos&tagid%5B%5D=5444,80422bytes,98,text/html,,
https://www.c-span.org/search/?personid%5B%5D=2249&searchtype=Videos&tagid%5B%5D=379,81385bytes,98,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=19844&personid%5B%5D=2249&searchtype=Videos,55439bytes,67,text/html,,
https://www.c-span.org/search/?edate=12%2F31%2F2003&personid%5B%5D=2249&sdate=01%2F01%2F2003&searchtype=Videos&sort=Most%20Popular,72976bytes,95,text/html,,
https://www.c-span.org/person/?trentlott,44744bytes,93,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=19847&personid%5B%5D=2249&searchtype=Videos,73757bytes,104,text/html,,
https://www.c-span.org/person/?kayhutchison,43974bytes,94,text/html,,
